"Variable","HR","CI_95","P_value","Significance"
"EGFR",1.55,"0.86-2.82",0.1461,"ns"
"KRAS",1.22,"0.8-1.84",0.359,"ns"
"TP53",1.43,"0.97-2.12",0.0722,"ns"
"STK11",1.49,"0.93-2.41",0.0989,"ns"
"KEAP1",1.23,"0.8-1.91",0.3458,"ns"
"STAGE_SIMPLEStage II",2.15,"1.35-3.41",0.0012,"**"
"STAGE_SIMPLEStage III",3.02,"1.87-4.87",0,"***"
"STAGE_SIMPLEStage IV",2.69,"1.31-5.5",0.0068,"**"
"SEXMale",1.31,"0.89-1.94",0.1722,"ns"
"SMOKING_CATLight",1.2,"0.74-1.92",0.4582,"ns"
"SMOKING_CATModerate",1.22,"0.79-1.88",0.3669,"ns"
"SMOKING_CATHeavy",NA,"NA-NA",NA,NA
